19:47:21|-|(6.123456789, 1.990101, 1.1234)|=|3.01
06:44:25|-|(6.123456789, 1.990101, 1.1234)|=|3.01
07:10:08|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
07:13:54|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
13:44:49|-|(6.123456789, 1.990101, 1.1234)|=|3.00995579
13:51:12|-|(1, 2, 3, 4, 5)|=|-13.0
14:04:10|-|(6.123456789, 1.990101, 1.1234)|=|3.01
14:04:14|-|(6.123456789, 1.990101, 1.1234)|=|3.01
06:51:28|-|(6.123456789, 1.990101, 1.1234)|=|3.01
06:51:36|-|(6.123456789, 1.990101, 1.1234)|=|3.01
07:35:00|-|(6.123456789, 1.990101, 1.1234)|=|3.00996
07:35:04|-|(6.123456789, 1.990101, 1.1234)|=|3.00996
09:21:27|-|(1, 2, 3, 4, 5)|=|-13.0
09:21:27|sum|(1, 2, 3, 4, 5)|=|-13.0
09:24:00|-|(1, 2, 3, 4, 5)|=|-13.0
09:24:00|sum|(1, 2, 3, 4, 5)|=|-13.0
