16:20:54|-|(6.123456789, 1.0000101, 1.1234)|4.00004669
16:23:42|-|(6.123456789, 1.0000101, 1.1234)|4.00004669
16:23:46|-|(6.123456789, 1.0000101, 1.1234)|4.00004669
16:24:02|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
16:24:15,-,"(6.123456789, 1.0000101, 1.1234)",=,4.00004669
16:24:42 - "(6.123456789, 1.0000101, 1.1234)" = 4.00004669
16:25:02|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
16:32:26|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
16:32:30|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
16:38:55|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:13:32|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:13:52|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:22:36|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:22:58|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:23:30|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:26:02|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:34:02|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:34:07|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:34:11|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:50:51|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:51:01|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:51:43|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:55:33|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
17:55:38|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:00:43|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:00:46|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:03:53|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:16:42|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:16:51|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:17:55|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:18:13|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:18:21|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:51:51|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
18:52:09|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:53:08|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:53:23|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:53:36|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:54:39|-|(6.123456789, 1.0000101, 1.1234)|=|4.0
18:54:52|-|(6.123456789, 1.0000101, 1.1234)|=|4.00004669
